id,numero,commune,section,arpente,contenance
51210000AB0349,349,51210,AB,False,14710
51210000AB0787,787,51210,AB,False,68224
51210000AB0241,241,51210,AB,False,5504
51210000AB0076,76,51210,AB,False,27090
51210000AB0741,741,51210,AB,False,7102
51210000AB0547,547,51210,AB,False,6106
51210000AB0545,545,51210,AB,False,4098
51210000AB0790,790,51210,AB,False,4116
51210000AB0690,690,51210,AB,True,6907
51210000AB0693,693,51210,AB,True,894
51210000AB0695,695,51210,AB,True,8556
51210000AB0707,707,51210,AB,False,5112
51210000AB0739,739,51210,AB,False,935
51210000AB0549,549,51210,AB,False,8328
51210000AB0548,548,51210,AB,False,4214
51210000AB0785,785,51210,AB,False,49186
51210000AB0252,252,51210,AB,False,9656
51210000AB0722,722,51210,AB,True,9891
51210000AB0029,29,51210,AB,False,776
51210000AB0244,244,51210,AB,False,450
51210000AB0799,799,51210,AB,False,10789
51210000AB0441,441,51210,AB,False,587
51210000AB0442,442,51210,AB,False,611
51210000AB0705,705,51210,AB,False,36
51210000AB0439,439,51210,AB,False,398
51210000AB0443,443,51210,AB,False,600
51210000AB0437,437,51210,AB,False,517
51210000AB0436,436,51210,AB,False,491
51210000AB0433,433,51210,AB,False,554
51210000AB0196,196,51210,AB,False,5253
51210000AB0206,206,51210,AB,False,953
51210000AB0207,207,51210,AB,False,10477
51210000AB0361,361,51210,AB,False,4646
51210000AB0360,360,51210,AB,False,287
51210000AB0358,358,51210,AB,False,199
51210000AB0710,710,51210,AB,True,3911
51210000AB0708,708,51210,AB,True,102
51210000AB0709,709,51210,AB,True,207
51210000AB0464,464,51210,AB,False,820
51210000AB0447,447,51210,AB,False,543
51210000AB0463,463,51210,AB,False,900
51210000AB0444,444,51210,AB,False,434
51210000AB0445,445,51210,AB,False,350
51210000AB0446,446,51210,AB,False,445
51210000AB0352,352,51210,AB,False,1045
51210000AB0356,356,51210,AB,False,458
51210000AB0002,2,51210,AB,False,1690
51210000AB0001,1,51210,AB,False,648
51210000AB0793,793,51210,AB,False,736
51210000AB0792,792,51210,AB,False,3978
51210000AB0440,440,51210,AB,False,8
51210000AB0438,438,51210,AB,False,25
51210000AB0435,435,51210,AB,False,51
51210000AB0434,434,51210,AB,False,62
51210000AB0430,430,51210,AB,False,289
51210000AB0432,432,51210,AB,False,425
51210000AB0204,204,51210,AB,False,964
51210000AB0205,205,51210,AB,False,888
51210000AB0703,703,51210,AB,False,30
51210000AB0343,343,51210,AB,False,3552
51210000AB0702,702,51210,AB,False,100
51210000AB0338,338,51210,AB,False,1830
51210000AB0700,700,51210,AB,False,11
51210000AB0459,459,51210,AB,False,199
51210000AB0762,762,51210,AB,False,2314
51210000AB0763,763,51210,AB,False,830
51210000AB0342,342,51210,AB,False,497
51210000AB0345,345,51210,AB,False,285
51210000AB0391,391,51210,AB,False,193
51210000AB0390,390,51210,AB,False,149
51210000AB0458,458,51210,AB,False,74
